,year,continent,protection,protection,protection,provision,provision,provision,participation,participation,participation
,,,mean,median,std,mean,median,std,mean,median,std
0,2007,Africa,0.499225229515764,0.5,0.2178588776822391,0.40483703920176345,0.3777067112203444,0.13150267951238723,0.4173169291068181,0.39204069675,0.15158824586415395
1,2007,Asia,0.5151219512195122,0.5,0.20855534512047347,0.4950025874492987,0.4868029689831072,0.13551219676151785,0.3566564635585366,0.3250059412,0.17682245276167757
2,2007,Europe,0.7907500000000001,0.77,0.14697178344228234,0.7206174233908237,0.7046095436272528,0.11334748430703614,0.727171121455,0.78988464425,0.15360367440766257
3,2007,North America,0.6077380952380952,0.5166666666666667,0.180326872180163,0.552740012580495,0.5258999986792716,0.14656732840761463,0.6358864431642858,0.6379135970500001,0.1309597701588082
4,2007,Oceania,0.7026666666666668,0.5700000000000001,0.25486543290310854,0.5449109664583011,0.4687890234931884,0.2084886028228667,0.60361194222,0.5793657498,0.24227469288163586
5,2007,South America,0.5951851851851852,0.58,0.16426064240095772,0.5128942443923747,0.5482789905977795,0.09259414243572374,0.6662431441666666,0.6604835771,0.10582610885864904
6,2010,Africa,0.5521728235161736,0.5779032293830589,0.1435939877432229,0.410322959914013,0.3734035753468228,0.12175505333720961,0.4088967188431818,0.37461384759999994,0.14866126076753358
7,2010,Asia,0.5479422209375162,0.576,0.19234560442648235,0.5162925886668891,0.5335117144712611,0.13246871731099885,0.37323321235365853,0.3666769360999999,0.17641927453136047
8,2010,Europe,0.8050261934794477,0.8335000000000001,0.11383305910199173,0.7232822054640513,0.6875960154732143,0.1031482432537066,0.727723237925,0.7961276985,0.15402259412871003
9,2010,North America,0.645077380952381,0.6218333333333335,0.12406082420679526,0.5719145631701352,0.5570367386173631,0.1495777126303876,0.6292502223285714,0.6438214237,0.14650500473655406
10,2010,Oceania,0.7261,0.6175,0.19701472026221792,0.5502797830689014,0.5763003980330357,0.22253075353631516,0.59418695834,0.5799037882,0.26695379964738597
11,2010,South America,0.6545899922673413,0.6349498451826623,0.16541724245846073,0.5390682823385367,0.5880986025605716,0.08921402278285834,0.6654873420666667,0.6656914106,0.10961634394684441
12,2013,Africa,0.5171096985898423,0.5360347059005772,0.17083681389162056,0.40397323620321096,0.3700495803999287,0.13049553088760768,0.41826923221555556,0.3932638206,0.15174950430242554
13,2013,Asia,0.5558181182633066,0.5874999999999999,0.17553651056802783,0.5348525058879466,0.5307090023154892,0.14034001859944095,0.37545405138536586,0.3642191679,0.16932664210415949
14,2013,Europe,0.8072704982471093,0.8476666666666668,0.13071016365956337,0.729475027498132,0.7069242507960737,0.09962338661296727,0.7217479397925001,0.78588963865,0.1626164203424651
15,2013,North America,0.6783392857142857,0.6565,0.12734248886522798,0.5738877919375324,0.576859968435822,0.14438531144327693,0.6222737709999999,0.63016580135,0.15513024305370252
16,2013,Oceania,0.7183333333333334,0.6113333333333333,0.18479053457000078,0.5763895665958414,0.606800037896473,0.20187679997400132,0.6005508536799999,0.5908175384000001,0.26178776209136523
17,2013,South America,0.6644511721546583,0.6666666666666667,0.12584726969276927,0.5596201459804445,0.5878615944586383,0.07991948629767757,0.6608523108222222,0.6691953926,0.11154274722639235
18,2016,Africa,0.5053535020769916,0.5475,0.17570655745627983,0.41521467193194334,0.387204239760464,0.13350204432012835,0.42642997532666665,0.4314299184,0.16147125486436656
19,2016,Asia,0.5399141261217176,0.572,0.18500606207261133,0.5330107593115204,0.5482474959245893,0.13944029005298367,0.3636883718512195,0.3476600988,0.1772927744382234
20,2016,Europe,0.8068483664473096,0.8478333333333333,0.13900579789985038,0.7325728698762701,0.708995454234375,0.10552796610480156,0.7100816328399999,0.78355130175,0.16367101906617304
21,2016,North America,0.6766071428571429,0.6346666666666667,0.13567273591197776,0.5621600906741778,0.5648665751528716,0.1495823483531826,0.62330724965,0.6483400634500001,0.15921900912928688
22,2016,Oceania,0.7335333333333333,0.6499999999999999,0.17305692705003176,0.5921100122788394,0.6812680894011905,0.21241934506099397,0.6403586301399999,0.5840250862,0.1894856199812171
23,2016,South America,0.6987218030289769,0.7046666666666667,0.10772378958753702,0.5749280163023535,0.6017976172122096,0.0927686510163239,0.6551447916,0.6687613815,0.10824111503346578
24,2019,Africa,0.5182002031042402,0.5684332670024966,0.14502474008531316,0.3900142046864004,0.3518274736850255,0.14099771083478901,0.42198119958888886,0.3959350156,0.15386977096317142
25,2019,Asia,0.5662214321080236,0.5975,0.18125171160657694,0.542072947551441,0.5730570523857588,0.13715108854571711,0.3686422575219512,0.3336434070999999,0.18249326614367972
26,2019,Europe,0.8062991108390154,0.8204536223783758,0.12441166482509348,0.7529083244416054,0.7210177554604216,0.09429913514981195,0.70511101009,0.7665750039,0.1634605030134737
27,2019,North America,0.6386847773270208,0.6341448950761017,0.1498224132632185,0.5431998134547423,0.5334886106872634,0.15101219403265112,0.6086554422357143,0.639205973,0.17275141373774391
28,2019,Oceania,0.7281143020192429,0.6603333333333333,0.17832399845072053,0.6595992305313267,0.7273422099916665,0.24847306505839617,0.6477399230199999,0.6346220536,0.1831931133666627
29,2019,South America,0.6653504462584648,0.6787322802868362,0.13483872241498743,0.6030790653940441,0.6268431886771128,0.08759692074482232,0.6519807442555555,0.6252373462,0.09993378912370915
